VBA Project,GUID,Friendly name
OffWebAppsServitpro,083d8e25-ce82-4884-9bbc-06375185011c,repair-officewebappsfarm
OffWebAppsServitpro,1f0704e1-a41d-40e6-a31b-08b1926ce811,get-officewebappsfarm
OffWebAppsServitpro,e4d51dc4-6460-437d-aa8e-0ae4d3aa8cc5,deploy-office-online-server
OffWebAppsServitpro,f1d523ab-45c6-4e3c-b274-22c0d229a6a0,new-officewebappshost
OffWebAppsServitpro,ea0469a3-cae2-49f1-8144-232bde84b9d1,set-spnotebookapplicationconfig
OffWebAppsServitpro,3616a668-f76f-45c6-914c-3103cbded5d2,new-officewebappsfarm
OffWebAppsServitpro,a9b766a7-a15c-4bbf-9750-31719406d65f,get-officewebappshost
OffWebAppsServitpro,97e2c30d-425d-4d25-88ba-39121ed2d3fe,set-officewebappsexceluserdefinedfunction
OffWebAppsServitpro,5d15dbd9-374e-422a-a870-43270dd0a2db,apply-software-updates-to-office-online-server
OffWebAppsServitpro,52a07e4e-62e5-4aa0-837f-490900b9c768,office-online-server-release-schedule
OffWebAppsServitpro,73ba7a36-981a-4991-9121-57545505def7,remove-officewebappsexceluserdefinedfunction
OffWebAppsServitpro,225d97ba-7d34-4302-a7ea-648c3e68b1c0,get-officewebappsexcelbiserver
OffWebAppsServitpro,b0385c4e-61fc-4607-a48c-64d8f4e80651,new-officewebappsmachine
OffWebAppsServitpro,56bfd3b3-f563-423d-aea0-65b331f73b96,windows-powershell-for-office-online-server
OffWebAppsServitpro,5ad806f2-67c6-41ed-a708-69db800f492a,remove-officewebappsmachine
OffWebAppsServitpro,7ced238b-2866-4961-af1c-6b597a55ce7a,data-authentication-for-excel-online-in-office-online-server
OffWebAppsServitpro,9a78496b-50c0-471c-b112-6dbc7231635d,configure-excel-online-data-refresh-by-using-embedded-data-connections-in-office
OffWebAppsServitpro,4b199a88-387f-4121-820d-7af580e2a3e8,office-online-server-overview
OffWebAppsServitpro,aeba2638-be88-4030-80fe-7e4bcd30309b,set-officewebappsmachine
OffWebAppsServitpro,b06dd801-736a-4621-8945-894449794f51,enable-tls-1-1-and-tls-1-2-support-in-office-online-server
OffWebAppsServitpro,4e5055c0-70e8-4697-8d8b-9c69a86e1a90,$$offwebappsservitpro
OffWebAppsServitpro,84c08727-b496-48b6-b54b-a366fad151d7,configure-server-to-server-authentication-between-office-online-server-and-share
OffWebAppsServitpro,9cb81758-9d0b-4970-9ca0-a75eedf6093b,configure-excel-online-administrative-settings
OffWebAppsServitpro,724eab67-9622-485a-85ee-ade766b99da3,remove-officewebappsexcelbiserver
OffWebAppsServitpro,0d33c049-3f9e-42e9-be48-aeecd4ad7b66,configure-excel-online-data-refresh-by-using-external-data-connections-in-office
OffWebAppsServitpro,2e147f11-6f47-46bc-90bf-b2f179958d11,plan-office-online-server
OffWebAppsServitpro,e75c9827-f5ce-4099-a08c-b42fde72ea98,office-online-server
OffWebAppsServitpro,a5276781-133b-413c-beca-b851e17c2081,configure-office-online-server-for-sharepoint-server-2016
OffWebAppsServitpro,d0f7b5c2-da0f-421a-8478-c39b247c3ac5,remove-officewebappshost
OffWebAppsServitpro,c92043fe-2aea-4770-b17b-c8098645db7a,new-officewebappsexcelbiserver
OffWebAppsServitpro,6b0b434f-5d19-4e63-9296-cf104b2f3da8,set-officewebappsfarm
OffWebAppsServitpro,2cba89ed-f447-42a4-9022-dd3a6d1dcb93,new-officewebappsexceluserdefinedfunction
OffWebAppsServitpro,8014bdd8-bc91-42cc-bbc1-dd9fcffbd7cf,get-officewebappsexceluserdefinedfunction
OffWebAppsServitpro,02fadf5e-0382-4e73-8d07-e67d088b1a02,get-officewebappsmachine
